Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score
1,106,3.923768001056943,1,1,0,1,3,5.89,1,2,90.0,3.86,71.98
1,733,2.0,2,2,1,1,2,4.37,3,2,96.0,3.55,71.2
1,737,4.0,2,0,0,1,3,7.45,1,2,121.0,3.81,71.39
1,900,3.0,2,2,2,2,3,6.16,2,2,100.0,1.34,31.46
2,2238,14.0,6,0,0,1,0,5.46,3,2,116.0,4.77,93.7
5,1185,3.0,3,2,0,1,3,5.69,3,2,91.0,4.49,82.94
5,1779,3.0,3,1,0,1,2,7.43,4,2,100.0,2.9,74.88
4,1281,5.0,2,1,3,1,0,7.72,2,2,143.0,0.96,28.54
1,268,1.0,3,1,1,1,0,6.13,3,3,94.0,4.17,88.11
1,159,2.0,2,1,0,2,3,6.77,3,2,90.0,4.48,80.65
1,521,1.0,2,1,0,1,0,4.14,3,2,89.0,4.82,73.51
2,2164,13.0,4,1,1,1,2,6.09,3,2,105.0,3.53,87.91
5,1620,3.0,4,1,0,1,0,6.08,3,2,143.0,4.74,76.86
5,1359,3.923768001056943,1,1,0,1,3,6.96,3,2,84.0,4.49,71.31
1,416,3.0,1,2,0,2,2,6.99,3,2,117.0,4.14,72.35
1,795,1.0,1,0,0,1,1,6.92,3,2,169.0,4.07,79.82
1,508,2.0,1,2,0,1,0,6.41,1,2,131.0,4.12,72.19
4,436,5.0,1,0,0,1,3,6.7,2,2,102.0,2.59,83.68
5,1735,5.0,3,2,0,2,2,6.47,0,2,164.0,2.82,77.28
1,497,3.923768001056943,3,0,2,1,4,5.74,1,2,103.0,1.96,73.46
5,1553,2.0,2,1,0,1,0,4.33,4,2,83.0,4.19,89.95
1,781,4.0,2,0,0,1,0,6.51,3,2,101.0,4.79,84.58
4,941,5.0,3,2,0,1,3,5.19,3,2,100.0,4.48,81.38
1,441,2.0,1,0,0,1,0,6.74,3,2,112.0,4.77,85.51
2,4161,6.0,3,1,0,0,0,7.83,3,2,156.0,4.71,75.63
5,1150,2.0,2,1,0,1,4,7.01,1,0,97.0,3.16,64.38
1,770,1.0,2,2,1,1,0,4.22,0,2,103.0,2.91,29.97
0,990,7.0,3,1,0,1,0,3.6,3,1,27.0,4.96,78.07
2,1809,9.0,5,2,0,1,0,8.31,3,0,133.0,4.67,80.07
2,2008,3.923768001056943,5,2,2,1,0,8.42,0,0,190.0,2.09,22.32
2,3799,9.0,4,1,3,1,4,4.3,1,2,84.0,1.37,35.45
1,910,2.0,2,1,0,2,3,7.45,3,2,156.0,4.4,80.14
5,1476,5.0,2,2,1,1,0,7.05,3,2,140.0,4.11,79.99
4,11813,5.0,3,1,0,1,2,7.29,3,3,127.0,4.12,80.55
1,886,2.0,2,1,1,1,0,7.27,3,2,112.0,4.14,85.08
1,358,3.0,3,0,0,1,4,7.56,3,2,148.0,3.78,73.99
5,1143,2.0,1,1,4,1,3,7.09,3,2,133.0,3.8,72.34
1,404,1.0,1,1,1,1,1,6.29,3,2,93.0,4.17,83.13
2,2912,15.0,2,1,0,1,2,6.33,2,2,133.0,2.24,62.91
1,190,3.0,1,1,1,1,3,7.83,3,2,132.0,3.8,82.12
5,1622,3.0,1,1,0,1,0,8.3,1,0,161.0,4.01,83.17
1,247,1.0,2,2,2,1,3,6.02,3,2,83.0,3.24,48.46
3,264,2.0,2,2,0,2,2,6.29,3,2,117.0,4.14,78.87
1,423,3.0,3,1,0,2,3,5.32,4,0,109.0,3.78,68.69
5,1304,5.0,2,0,0,1,0,4.77,1,2,110.0,4.16,83.38
1,508,4.0,2,1,0,1,0,5.83,1,2,98.0,4.17,86.66
4,497,7.0,3,0,1,2,3,4.9,1,2,115.0,3.21,85.05
1,106,1.0,1,0,0,1,0,7.1,0,2,91.0,3.54,88.65
2,3493,4.0,2,2,0,1,2,6.71,3,2,130.0,4.12,82.66
3,423,3.923768001056943,1,1,1,1,1,5.1,3,2,114.0,3.52,71.7
4,691,6.0,2,2,0,1,0,5.02,3,2,113.0,4.78,69.0
1,451,4.0,1,2,1,1,0,5.84,1,2,84.0,3.56,68.34
1,482,3.0,1,1,0,2,0,6.17,3,2,101.0,4.79,82.88
5,1418,4.0,4,3,0,2,0,6.08,3,2,161.0,4.71,87.57
1,217,1.0,1,1,1,1,3,6.82,3,2,115.0,3.82,72.43
2,2943,11.0,3,0,1,1,2,6.6,1,2,130.0,2.87,70.64
5,1123,3.0,4,0,1,1,3,3.08,1,1,94.0,3.31,79.28
4,683,6.0,3,0,0,1,0,6.61,3,2,131.0,4.75,84.99
5,2033,3.0,2,0,4,1,0,5.92,3,2,120.0,4.77,84.75
3,200,2.0,1,0,0,1,0,6.22,1,2,164.0,4.08,73.57
1,362,4.0,3,1,1,1,0,3.81,3,1,82.0,4.26,68.04
3,225,3.0,2,2,1,1,3,6.76,3,2,112.0,3.83,67.17
5,1749,4.0,1,0,1,1,3,5.92,1,2,103.0,3.22,73.67
2,2933,12.0,6,2,0,1,4,8.46,3,0,125.0,3.74,71.37
1,242,4.0,2,1,0,2,0,5.78,3,2,108.0,4.78,83.08
5,1688,5.0,3,1,0,2,1,6.17,1,2,97.0,3.22,70.64
1,904,1.0,1,2,0,2,2,7.12,2,2,91.0,2.28,40.07
1,168,1.0,2,1,0,1,2,6.08,3,2,105.0,4.16,71.26
1,277,1.0,2,1,0,2,0,5.59,0,2,119.0,3.51,91.24
1,958,1.0,3,1,0,2,3,5.98,1,2,81.0,3.87,74.1
5,1591,3.0,4,1,1,1,3,7.23,3,2,97.0,3.84,91.17
1,538,4.0,2,1,0,2,0,4.79,1,2,98.0,4.17,76.81
1,191,2.0,2,1,0,1,2,7.0,3,2,158.0,4.08,79.4
1,781,1.0,1,2,0,2,0,7.65,0,2,149.0,3.46,77.35
0,2185,4.0,1,2,2,1,0,6.24,3,2,100.0,3.53,68.57
3,462,0.0,1,1,0,2,0,8.27,1,0,177.0,3.99,71.42
1,692,1.0,3,1,2,1,4,7.51,1,3,144.0,1.9,45.64
1,263,1.0,1,1,0,1,3,7.05,3,2,133.0,4.43,91.63
0,985,2.0,3,0,0,1,2,7.6,3,2,117.0,4.13,80.26
1,136,3.0,2,1,0,2,3,4.15,1,2,98.0,3.86,75.3
5,1493,5.0,2,1,2,1,0,4.31,1,2,113.0,2.9,70.6
0,313,1.0,3,1,1,1,0,6.02,3,2,124.0,4.13,78.34
1,182,3.0,2,1,1,2,0,6.25,3,2,157.0,4.09,82.07
5,2032,2.0,2,1,0,1,3,6.78,3,2,130.0,4.43,69.23
1,491,3.0,3,1,0,1,2,5.68,3,2,100.0,4.16,90.31
1,870,1.0,1,0,1,2,0,6.21,4,2,97.0,3.54,84.6
1,7302,3.0,3,2,0,2,3,7.92,2,2,82.0,2.6,55.53
5,2164,3.0,4,1,0,1,0,5.66,1,2,97.0,4.17,91.82
4,778,6.0,3,1,3,1,3,5.86,0,2,82.0,1.36,44.74
1,379,2.0,1,1,2,1,4,6.55,1,2,129.0,1.93,33.07
3,233,3.0,1,1,1,1,0,6.81,3,2,112.0,4.14,84.38
2,2082,11.0,2,2,0,2,0,4.16,0,2,90.0,3.56,85.55
1,840,1.0,1,0,0,1,3,4.77,0,2,111.0,3.22,72.26
5,1725,4.0,2,1,0,1,0,5.7,1,2,120.0,4.14,89.7
1,265,3.0,1,2,0,1,0,8.48,0,0,181.0,3.36,32.34
3,23128,1.0,2,2,2,1,2,7.67,3,2,790.0,2.89,45.69
5,1576,5.0,3,2,0,2,3,5.19,1,2,114.0,3.84,74.95
1,304,4.0,1,1,0,1,3,5.62,1,2,84.0,3.87,83.23
5,1822,5.0,4,2,1,0,0,7.59,0,2,157.0,2.83,41.62
5,1116,3.0,4,3,0,1,0,2.53,3,1,94.0,4.88,77.42
5,1364,5.0,1,1,1,1,0,7.56,0,2,113.0,2.88,65.77
